session_token,attack_type,true_label,hybrid_stage1_rf_prob,hybrid_stage1_rf_pred,hybrid_stage1_lr_prob,hybrid_stage1_lr_pred,hybrid_stage2_prob,hybrid_stage2_pred,hybrid_stage3_pred,fusion_combo
1771401489025-xvnbmzb9e8a,logical,1,1.0,1,0.99235,1,0.996773,1,1,Face + Voice
1770218434339-0208d18knkyy,logical,1,0.72,1,0.570446,1,0.653456,1,1,Face + Voice
1770445663719-yykw6xau3x,logical,1,1.0,1,0.994401,1,0.991136,1,1,Face + Voice
1770028923875-1hygdlyttxt,logical,1,1.0,1,0.864288,1,0.895846,1,1,Face + Voice
1770206737552-7b84if03p6b,logical,1,0.96,1,0.861099,1,0.879872,1,1,Face + Voice
1770445612934-h9m47dgoghs,logical,1,0.99,1,0.478466,0,0.721732,1,1,Face + Voice
1769680362558-n9br5ma9t5p,logical,1,1.0,1,0.970468,1,0.953553,1,1,Face + Voice
1770203841157-kds0yz9v9pc,logical,1,1.0,1,0.936411,1,0.907651,1,1,Face + Voice
1770006660690-9qwgjvmdp8,logical,1,0.84,1,0.82513,1,0.805076,1,1,Face + Voice
1769877768525-icimbs5yvns,replay,1,1.0,1,0.977117,1,0.968776,1,1,Face + Voice
1769857860488-1kaf4vrf1bw,replay,1,1.0,1,0.992032,1,0.988606,1,1,Face + Voice
1769877871713-4m4k67ocdf6,replay,1,0.77,1,0.835367,1,0.73846,1,1,Face + Voice
1769879665020-z2hehrkreh,replay,1,0.97,1,0.986686,1,0.961808,1,1,Face + Voice
1770016503680-7cdim9wd80u,logical,1,1.0,1,0.972324,1,0.96509,1,1,Face + Voice
1770301049346-y55avo4p2vi,logical,1,0.18,0,0.068751,0,0.154174,0,0,Face + Voice
1770445940637-wtibtljxuzm,logical,1,0.97,1,0.592479,1,0.784717,1,1,Face + Voice
1769582224434-2n71gdsz237,replay,1,1.0,1,0.987897,1,0.980274,1,1,Face + Voice
1769865631974-5vswlopqn38,replay,1,1.0,1,0.993634,1,0.995566,1,1,Face + Voice
1770445711837-coy6l2idlit,logical,1,1.0,1,0.957797,1,0.960124,1,1,Face + Voice
1770725471062-pvz0nwke0cp,logical,1,1.0,1,0.950746,1,0.948826,1,1,Face + Voice
1769877835383-f8kvf7lral,replay,1,1.0,1,0.991362,1,0.992766,1,1,Face + Voice
1770008423822-5ek366c1tyi,logical,1,1.0,1,0.926099,1,0.934996,1,1,Face + Voice
1770190438442-qpuieazzqee,logical,1,1.0,1,0.99118,1,0.98295,1,1,Face + Voice
1770445780786-y222a26roh,logical,1,1.0,1,0.992063,1,0.995566,1,1,Face + Voice
1769656704608-ef07jxxzhzn,genuine,0,0.0,0,0.025092,0,0.017467,0,0,Face + Voice
1769877877349-6ubslfaljz6,genuine,0,0.3,0,0.033506,0,0.188707,0,0,Face + Voice
1769878323445-9htttm85m8a,genuine,0,0.27,0,0.075589,0,0.191178,0,0,Face + Voice
1770003685383-va6cgq2e3pc,genuine,0,0.96,1,0.702473,1,0.817343,1,1,Face + Voice
1769661288326-qjv26yfs9b,genuine,0,0.25,0,0.181677,0,0.265504,0,0,Face + Voice
1769877763904-77llgv23pb,genuine,0,0.02,0,0.142633,0,0.097694,0,0,Face + Voice
1769877865550-cngi8444j34,genuine,0,0.0,0,0.02528,0,0.025677,0,0,Face + Voice
1769878150519-bs6gvzikgww,replay,1,1.0,1,0.926517,1,0.939159,1,1,Face + Voice
1770259504525-yq212ny4ozl,tts,1,0.97,1,0.62544,1,0.794308,1,1,Face + Voice
1770445658387-z0i6uvj0r2h,tts,1,1.0,1,0.984019,1,0.972961,1,1,Face + Voice
1770091464869-c2tvb9pzrw,tts,1,1.0,1,0.993007,1,0.984605,1,1,Face + Voice
1769879131222-u883itot1y,tts,1,1.0,1,0.99384,1,0.988313,1,1,Face + Voice
1770445694876-9ahtrz67nb5,tts,1,1.0,1,0.987213,1,0.979036,1,1,Face + Voice
1770007156022-abb32n6ywev,replay,1,1.0,1,0.990326,1,0.99045,1,1,Face + Voice
1770090868504-sllnnomys4a,tts,1,0.9,1,0.90707,1,0.844651,1,1,Face + Voice
1769877858353-02ci21rj98ul,tts,1,1.0,1,0.920695,1,0.899847,1,1,Face + Voice
1770102907751-5ua5kyxye1,tts,1,0.97,1,0.880788,1,0.859948,1,1,Face + Voice
1770445800354-dydxxootb0g,tts,1,0.75,1,0.505798,1,0.646881,1,1,Face + Voice
1769879150923-hkfhersf7f4,replay,1,0.72,1,0.284945,0,0.554019,1,1,Face + Voice
1769715316109-lepldmgac6,tts,1,1.0,1,0.984696,1,0.982065,1,1,Face + Voice
1770088231254-ksqawp9z6n,tts,1,0.99,1,0.929028,1,0.901067,1,1,Face + Voice
1769877786806-vedpgl0db5r,tts,1,1.0,1,0.971118,1,0.964427,1,1,Face + Voice
1769877447533-dk8kd071f4e,tts,1,1.0,1,0.929799,1,0.94192,1,1,Face + Voice
1769877776957-cfu3881h8h4,tts,1,1.0,1,0.834273,1,0.874824,1,1,Face + Voice
1769879312929-njjzxjw5exi,tts,1,1.0,1,0.981092,1,0.965825,1,1,Face + Voice
1769877746312-17s72lus0oz,tts,1,0.95,1,0.988647,1,0.951987,1,1,Face + Voice
1770446113415-851a51rt5u4,tts,1,0.85,1,0.566761,1,0.702203,1,1,Face + Voice
1769878532354-0sianq32je2,replay,1,1.0,1,0.991939,1,0.996388,1,1,Face + Voice
1769868225913-vpvxtwhl39,tts,1,0.89,1,0.991148,1,0.93855,1,1,Face + Voice
1769877813423-fzmq80fcxer,replay,1,1.0,1,0.978962,1,0.973889,1,1,Face + Voice
1769879032156-o2qh72vloxb,replay,1,0.94,1,0.991896,1,0.964817,1,1,Face + Voice
1769921310778-vis108tj3r,replay,1,0.97,1,0.983436,1,0.952825,1,1,Face + Voice
1769884026520-t9ty3jhfk,tts,1,1.0,1,0.989719,1,0.990707,1,1,Face + Voice
1770445671449-gz2dwbwj91j,tts,1,0.98,1,0.90331,1,0.878823,1,1,Face + Voice
1769877785185-0we92xpmfk1,tts,1,1.0,1,0.959656,1,0.958414,1,1,Face + Voice
1770445648100-ok0k52ovsd7,tts,1,1.0,1,0.930603,1,0.943042,1,1,Face + Voice
1769827464685-t4iir7dsiek,tts,1,1.0,1,0.985946,1,0.979713,1,1,Face + Voice
1769884198839-gbpaaesaa4,replay,1,1.0,1,0.99079,1,0.995136,1,1,Face + Voice
1770626604878-066mir6831a,tts,1,1.0,1,0.935379,1,0.934338,1,1,Face + Voice
1770087651128-1o6x4ah0kle,tts,1,1.0,1,0.941038,1,0.932205,1,1,Face + Voice
1769879335590-h4i23wgvh1,genuine,0,0.0,0,0.015544,0,0.015273,0,0,Face + Voice
1769877836738-ngh2n3zgsbb,genuine,0,0.07,0,0.172427,0,0.137315,0,0,Face + Voice
1770087965227-1baaery53s3i,genuine,0,0.35,0,0.197646,0,0.293802,0,0,Face + Voice
1770088530588-5efqabvflf3,genuine,0,0.0,0,0.018842,0,0.017635,0,0,Face + Voice
1769877783602-qg04uh9094,genuine,0,0.0,0,0.021388,0,0.018157,0,0,Face + Voice
1770583681000-kkbdy2g8w6,synthetic,1,1.0,1,0.986215,1,0.980101,1,1,Face + Voice
1771426980393-nzuzo8hi3mr,synthetic,1,0.98,1,0.508211,1,0.724278,1,1,Face + Voice
1770188000031-tgsearqo8in,synthetic,1,1.0,1,0.979785,1,0.972436,1,1,Face + Voice
1770445778272-8f5hwjpivtu,synthetic,1,1.0,1,0.994967,1,0.995197,1,1,Face + Voice
1770217531977-wk28pni9c7d,synthetic,1,0.86,1,0.474735,0,0.648511,1,1,Face + Voice
1770282071874-i2g3l36xe6i,synthetic,1,0.99,1,0.98413,1,0.968261,1,1,Face + Voice
1770364827761-mr9ug9dhlib,synthetic,1,1.0,1,0.995432,1,0.997226,1,1,Face + Voice
1770557958937-o7zm1xx7z5,synthetic,1,0.27,0,0.309532,0,0.316994,0,0,Face + Voice
1769877799465-s8yspj7o21s,synthetic,1,1.0,1,0.928352,1,0.938527,1,1,Face + Voice
1770477453315-sydj4jcvtoi,synthetic,1,1.0,1,0.991286,1,0.992346,1,1,Face + Voice
1770445820698-5jlwq1lbbr3,synthetic,1,0.99,1,0.756125,1,0.843124,1,1,Face + Voice
1770380045217-37yshqp9c7a,synthetic,1,1.0,1,0.988695,1,0.983054,1,1,Face + Voice
1770301371712-34a8ac6kmjn,synthetic,1,1.0,1,0.988716,1,0.988325,1,1,Face + Voice
1769877779645-a7eplt7s9je,synthetic,1,1.0,1,0.99309,1,0.990461,1,1,Face + Voice
1770646563111-v924d5zyos,genuine,0,0.0,0,0.019859,0,0.01926,0,0,Face + Voice
1769878778942-38puz883s92,genuine,0,0.1,0,0.024373,0,0.074625,0,0,Face + Voice
1769878005554-ul2tq32hw5g,genuine,0,0.0,0,0.024138,0,0.022853,0,0,Face + Voice
1770380281105-mdwuzashsa,genuine,0,0.28,0,0.033062,0,0.184089,0,0,Face + Voice
1770445678567-i71ayyh340i,genuine,0,0.0,0,0.026289,0,0.026607,0,0,Face + Voice
1770217090325-2egusipenph,genuine,0,0.0,0,0.019098,0,0.015139,0,0,Face + Voice
1770445750525-ngqmw95sj0f,genuine,0,0.01,0,0.150318,0,0.095,0,0,Face + Voice
1770445434966-vjnehaefwq,genuine,0,0.17,0,0.066161,0,0.162993,0,0,Face + Voice
1770445718682-feaylk2v696,genuine,0,0.58,1,0.665415,1,0.608335,1,1,Face + Voice
1771183279674-6f82c2f9ntw,genuine,0,0.18,0,0.020606,0,0.115161,0,0,Face + Voice
1770445787080-lqw56ag66w,genuine,0,0.51,1,0.310964,0,0.427889,0,0,Face + Voice
1770480823736-i9brl5czgw,genuine,0,0.1,0,0.136948,0,0.157724,0,0,Face + Voice
1771401489025-xvnbmzb9e8a,logical,1,1.0,1,0.993934,1,0.996706,1,1,Face + Keystroke
1770218434339-0208d18knkyy,logical,1,0.96,1,0.812186,1,0.852071,1,1,Face + Keystroke
1770445663719-yykw6xau3x,logical,1,1.0,1,0.973646,1,0.941887,1,1,Face + Keystroke
1770028923875-1hygdlyttxt,logical,1,1.0,1,0.975185,1,0.956463,1,1,Face + Keystroke
1770206737552-7b84if03p6b,logical,1,0.77,1,0.726604,1,0.726531,1,1,Face + Keystroke
1770445612934-h9m47dgoghs,logical,1,0.69,1,0.306492,0,0.4996,0,0,Face + Keystroke
1769680362558-n9br5ma9t5p,logical,1,1.0,1,0.995571,1,0.990676,1,1,Face + Keystroke
1770203841157-kds0yz9v9pc,logical,1,0.99,1,0.993731,1,0.990396,1,1,Face + Keystroke
1770006660690-9qwgjvmdp8,logical,1,0.74,1,0.778758,1,0.742371,1,1,Face + Keystroke
1769877768525-icimbs5yvns,replay,1,1.0,1,0.994636,1,0.987342,1,1,Face + Keystroke
1769857860488-1kaf4vrf1bw,replay,1,1.0,1,0.993746,1,0.99528,1,1,Face + Keystroke
1769877871713-4m4k67ocdf6,replay,1,1.0,1,0.993343,1,0.983408,1,1,Face + Keystroke
1769879665020-z2hehrkreh,replay,1,1.0,1,0.994079,1,0.996998,1,1,Face + Keystroke
1770016503680-7cdim9wd80u,logical,1,1.0,1,0.993202,1,0.983191,1,1,Face + Keystroke
1770301049346-y55avo4p2vi,logical,1,0.88,1,0.358401,0,0.657428,1,1,Face + Keystroke
1770445940637-wtibtljxuzm,logical,1,0.98,1,0.614995,1,0.7969,1,1,Face + Keystroke
1769582224434-2n71gdsz237,replay,1,0.96,1,0.877085,1,0.843371,1,1,Face + Keystroke
1769865631974-5vswlopqn38,replay,1,1.0,1,0.994065,1,0.996633,1,1,Face + Keystroke
1770445711837-coy6l2idlit,logical,1,1.0,1,0.969736,1,0.963116,1,1,Face + Keystroke
1770725471062-pvz0nwke0cp,logical,1,1.0,1,0.954212,1,0.950439,1,1,Face + Keystroke
1769877835383-f8kvf7lral,replay,1,0.96,1,0.795131,1,0.819015,1,1,Face + Keystroke
1770008423822-5ek366c1tyi,logical,1,0.88,1,0.345845,0,0.602349,1,1,Face + Keystroke
1770190438442-qpuieazzqee,logical,1,0.94,1,0.855663,1,0.821838,1,1,Face + Keystroke
1770445780786-y222a26roh,logical,1,1.0,1,0.994094,1,0.99748,1,1,Face + Keystroke
1769656704608-ef07jxxzhzn,genuine,0,0.03,0,0.021794,0,0.029057,0,0,Face + Keystroke
1769877877349-6ubslfaljz6,genuine,0,0.08,0,0.024093,0,0.057834,0,0,Face + Keystroke
1769878323445-9htttm85m8a,genuine,0,0.17,0,0.052218,0,0.122348,0,0,Face + Keystroke
1770003685383-va6cgq2e3pc,genuine,0,0.18,0,0.10065,0,0.152756,0,0,Face + Keystroke
1769661288326-qjv26yfs9b,genuine,0,0.03,0,0.023767,0,0.031082,0,0,Face + Keystroke
1769877763904-77llgv23pb,genuine,0,0.03,0,0.161016,0,0.104253,0,0,Face + Keystroke
1769877865550-cngi8444j34,genuine,0,0.0,0,0.020745,0,0.013562,0,0,Face + Keystroke
1769878150519-bs6gvzikgww,replay,1,1.0,1,0.975423,1,0.956789,1,1,Face + Keystroke
1770259504525-yq212ny4ozl,tts,1,0.87,1,0.537678,1,0.716849,1,1,Face + Keystroke
1770445658387-z0i6uvj0r2h,tts,1,1.0,1,0.978762,1,0.973113,1,1,Face + Keystroke
1770091464869-c2tvb9pzrw,tts,1,1.0,1,0.993335,1,0.996218,1,1,Face + Keystroke
1769879131222-u883itot1y,tts,1,1.0,1,0.99342,1,0.996474,1,1,Face + Keystroke
1770445694876-9ahtrz67nb5,tts,1,0.97,1,0.993785,1,0.981043,1,1,Face + Keystroke
1770007156022-abb32n6ywev,replay,1,0.89,1,0.874915,1,0.808129,1,1,Face + Keystroke
1770090868504-sllnnomys4a,tts,1,1.0,1,0.988928,1,0.9847,1,1,Face + Keystroke
1769877858353-02ci21rj98ul,tts,1,0.99,1,0.993691,1,0.990634,1,1,Face + Keystroke
1770102907751-5ua5kyxye1,tts,1,1.0,1,0.991338,1,0.989564,1,1,Face + Keystroke
1770445800354-dydxxootb0g,tts,1,0.99,1,0.741903,1,0.839105,1,1,Face + Keystroke
1769879150923-hkfhersf7f4,replay,1,0.87,1,0.400332,0,0.665019,1,1,Face + Keystroke
1769715316109-lepldmgac6,tts,1,1.0,1,0.971753,1,0.935039,1,1,Face + Keystroke
1770088231254-ksqawp9z6n,tts,1,1.0,1,0.994064,1,0.997336,1,1,Face + Keystroke
1769877786806-vedpgl0db5r,tts,1,1.0,1,0.972354,1,0.964556,1,1,Face + Keystroke
1769877447533-dk8kd071f4e,tts,1,1.0,1,0.975762,1,0.957258,1,1,Face + Keystroke
1769877776957-cfu3881h8h4,tts,1,1.0,1,0.920026,1,0.933549,1,1,Face + Keystroke
1769879312929-njjzxjw5exi,tts,1,1.0,1,0.996913,1,0.996679,1,1,Face + Keystroke
1769877746312-17s72lus0oz,tts,1,1.0,1,0.993973,1,0.996679,1,1,Face + Keystroke
1770446113415-851a51rt5u4,tts,1,0.96,1,0.848062,1,0.878436,1,1,Face + Keystroke
1769878532354-0sianq32je2,replay,1,1.0,1,0.993949,1,0.996283,1,1,Face + Keystroke
1769868225913-vpvxtwhl39,tts,1,1.0,1,0.970817,1,0.940192,1,1,Face + Keystroke
1769877813423-fzmq80fcxer,replay,1,1.0,1,0.987223,1,0.981482,1,1,Face + Keystroke
1769879032156-o2qh72vloxb,replay,1,0.85,1,0.815107,1,0.773287,1,1,Face + Keystroke
1769921310778-vis108tj3r,replay,1,1.0,1,0.992058,1,0.991606,1,1,Face + Keystroke
1769884026520-t9ty3jhfk,tts,1,1.0,1,0.992315,1,0.991971,1,1,Face + Keystroke
1770445671449-gz2dwbwj91j,tts,1,1.0,1,0.987525,1,0.984389,1,1,Face + Keystroke
1769877785185-0we92xpmfk1,tts,1,1.0,1,0.975615,1,0.966308,1,1,Face + Keystroke
1770445648100-ok0k52ovsd7,tts,1,1.0,1,0.95195,1,0.949981,1,1,Face + Keystroke
1769827464685-t4iir7dsiek,tts,1,1.0,1,0.992426,1,0.992514,1,1,Face + Keystroke
1769884198839-gbpaaesaa4,replay,1,1.0,1,0.997094,1,0.998344,1,1,Face + Keystroke
1770626604878-066mir6831a,tts,1,1.0,1,0.959018,1,0.954228,1,1,Face + Keystroke
1770087651128-1o6x4ah0kle,tts,1,1.0,1,0.915948,1,0.905778,1,1,Face + Keystroke
1769879335590-h4i23wgvh1,genuine,0,0.03,0,0.016517,0,0.023687,0,0,Face + Keystroke
1769877836738-ngh2n3zgsbb,genuine,0,0.07,0,0.141091,0,0.117449,0,0,Face + Keystroke
1770087965227-1baaery53s3i,genuine,0,0.85,1,0.823013,1,0.801166,1,1,Face + Keystroke
1770088530588-5efqabvflf3,genuine,0,0.03,0,0.020861,0,0.028023,0,0,Face + Keystroke
1769877783602-qg04uh9094,genuine,0,0.0,0,0.020588,0,0.012915,0,0,Face + Keystroke
1770583681000-kkbdy2g8w6,synthetic,1,1.0,1,0.992429,1,0.992241,1,1,Face + Keystroke
1771426980393-nzuzo8hi3mr,synthetic,1,1.0,1,0.928764,1,0.935128,1,1,Face + Keystroke
1770188000031-tgsearqo8in,synthetic,1,1.0,1,0.981226,1,0.973648,1,1,Face + Keystroke
1770445778272-8f5hwjpivtu,synthetic,1,1.0,1,0.992981,1,0.995309,1,1,Face + Keystroke
1770217531977-wk28pni9c7d,synthetic,1,0.97,1,0.927619,1,0.919983,1,1,Face + Keystroke
1770282071874-i2g3l36xe6i,synthetic,1,0.97,1,0.993541,1,0.961553,1,1,Face + Keystroke
1770364827761-mr9ug9dhlib,synthetic,1,1.0,1,0.973619,1,0.941863,1,1,Face + Keystroke
1770557958937-o7zm1xx7z5,synthetic,1,0.62,1,0.753793,1,0.663465,1,1,Face + Keystroke
1769877799465-s8yspj7o21s,synthetic,1,1.0,1,0.978304,1,0.95985,1,1,Face + Keystroke
1770477453315-sydj4jcvtoi,synthetic,1,1.0,1,0.99388,1,0.996455,1,1,Face + Keystroke
1770445820698-5jlwq1lbbr3,synthetic,1,1.0,1,0.943199,1,0.940668,1,1,Face + Keystroke
1770380045217-37yshqp9c7a,synthetic,1,1.0,1,0.994102,1,0.996955,1,1,Face + Keystroke
1770301371712-34a8ac6kmjn,synthetic,1,1.0,1,0.976893,1,0.938809,1,1,Face + Keystroke
1769877779645-a7eplt7s9je,synthetic,1,1.0,1,0.989905,1,0.988916,1,1,Face + Keystroke
1770646563111-v924d5zyos,genuine,0,0.0,0,0.022615,0,0.016404,0,0,Face + Keystroke
1769878778942-38puz883s92,genuine,0,0.01,0,0.036493,0,0.042214,0,0,Face + Keystroke
1769878005554-ul2tq32hw5g,genuine,0,0.0,0,0.02326,0,0.017372,0,0,Face + Keystroke
1770380281105-mdwuzashsa,genuine,0,0.0,0,0.017391,0,0.010023,0,0,Face + Keystroke
1770445678567-i71ayyh340i,genuine,0,0.0,0,0.022202,0,0.015572,0,0,Face + Keystroke
1770217090325-2egusipenph,genuine,0,0.19,0,0.017679,0,0.103464,0,0,Face + Keystroke
1770445750525-ngqmw95sj0f,genuine,0,0.01,0,0.137682,0,0.086137,0,0,Face + Keystroke
1770445434966-vjnehaefwq,genuine,0,0.0,0,0.016972,0,0.00928,0,0,Face + Keystroke
1770445718682-feaylk2v696,genuine,0,0.08,0,0.144402,0,0.124268,0,0,Face + Keystroke
1771183279674-6f82c2f9ntw,genuine,0,0.62,1,0.370799,0,0.517934,1,1,Face + Keystroke
1770445787080-lqw56ag66w,genuine,0,0.18,0,0.103011,0,0.153875,0,0,Face + Keystroke
1770480823736-i9brl5czgw,genuine,0,0.06,0,0.040502,0,0.06519,0,0,Face + Keystroke
1771401489025-xvnbmzb9e8a,logical,1,1.0,1,0.986294,1,0.993483,1,1,Voice + Keystroke
