session_token,attack_type,true_label,hybrid_stage1_rf_prob,hybrid_stage1_rf_pred,hybrid_stage1_lr_prob,hybrid_stage1_lr_pred,hybrid_stage2_prob,hybrid_stage2_pred,hybrid_stage3_pred,fusion_combo
1770218434339-0208d18knkyy,logical,1,1.0,1,0.984625,1,0.987368,1,1,Voice + Keystroke
1770445663719-yykw6xau3x,logical,1,1.0,1,0.887566,1,0.908892,1,1,Voice + Keystroke
1770028923875-1hygdlyttxt,logical,1,1.0,1,0.960185,1,0.957804,1,1,Voice + Keystroke
1770206737552-7b84if03p6b,logical,1,0.97,1,0.964695,1,0.949539,1,1,Voice + Keystroke
1770445612934-h9m47dgoghs,logical,1,0.12,0,0.028973,0,0.096353,0,0,Voice + Keystroke
1769680362558-n9br5ma9t5p,logical,1,1.0,1,0.9553,1,0.953582,1,1,Voice + Keystroke
1770203841157-kds0yz9v9pc,logical,1,0.73,1,0.620625,1,0.676536,1,1,Voice + Keystroke
1770006660690-9qwgjvmdp8,logical,1,1.0,1,0.983264,1,0.990672,1,1,Voice + Keystroke
1769877768525-icimbs5yvns,replay,1,1.0,1,0.977935,1,0.976969,1,1,Voice + Keystroke
1769857860488-1kaf4vrf1bw,replay,1,1.0,1,0.97289,1,0.980918,1,1,Voice + Keystroke
1769877871713-4m4k67ocdf6,replay,1,0.69,1,0.676955,1,0.662252,1,1,Voice + Keystroke
1769879665020-z2hehrkreh,replay,1,0.98,1,0.957563,1,0.95737,1,1,Voice + Keystroke
1770016503680-7cdim9wd80u,logical,1,1.0,1,0.979901,1,0.979739,1,1,Voice + Keystroke
1770301049346-y55avo4p2vi,logical,1,0.93,1,0.724568,1,0.814329,1,1,Voice + Keystroke
1770445940637-wtibtljxuzm,logical,1,1.0,1,0.98187,1,0.99245,1,1,Voice + Keystroke
1769582224434-2n71gdsz237,replay,1,0.57,1,0.29681,0,0.458208,0,0,Voice + Keystroke
1769865631974-5vswlopqn38,replay,1,1.0,1,0.980286,1,0.990059,1,1,Voice + Keystroke
1770445711837-coy6l2idlit,logical,1,1.0,1,0.980935,1,0.993212,1,1,Voice + Keystroke
1770725471062-pvz0nwke0cp,logical,1,1.0,1,0.980468,1,0.990287,1,1,Voice + Keystroke
1769877835383-f8kvf7lral,replay,1,0.9,1,0.380898,0,0.660362,1,1,Voice + Keystroke
1770008423822-5ek366c1tyi,logical,1,0.9,1,0.568522,1,0.720122,1,1,Voice + Keystroke
1770190438442-qpuieazzqee,logical,1,0.87,1,0.578966,1,0.703877,1,1,Voice + Keystroke
1770445780786-y222a26roh,logical,1,1.0,1,0.986135,1,0.993125,1,1,Voice + Keystroke
1769656704608-ef07jxxzhzn,genuine,0,0.13,0,0.023413,0,0.081567,0,0,Voice + Keystroke
1769877877349-6ubslfaljz6,genuine,0,0.19,0,0.022177,0,0.123236,0,0,Voice + Keystroke
1769878323445-9htttm85m8a,genuine,0,0.0,0,0.031466,0,0.025856,0,0,Voice + Keystroke
1770003685383-va6cgq2e3pc,genuine,0,0.86,1,0.636816,1,0.721427,1,1,Voice + Keystroke
1769661288326-qjv26yfs9b,genuine,0,0.54,1,0.38931,0,0.470964,0,0,Voice + Keystroke
1769877763904-77llgv23pb,genuine,0,0.0,0,0.020948,0,0.015937,0,0,Voice + Keystroke
1769877865550-cngi8444j34,genuine,0,0.0,0,0.019282,0,0.020003,0,0,Voice + Keystroke
1769878150519-bs6gvzikgww,replay,1,1.0,1,0.986306,1,0.990539,1,1,Voice + Keystroke
1770259504525-yq212ny4ozl,tts,1,1.0,1,0.983519,1,0.990792,1,1,Voice + Keystroke
1770445658387-z0i6uvj0r2h,tts,1,1.0,1,0.982611,1,0.989636,1,1,Voice + Keystroke
1770091464869-c2tvb9pzrw,tts,1,1.0,1,0.972746,1,0.97727,1,1,Voice + Keystroke
1769879131222-u883itot1y,tts,1,1.0,1,0.976701,1,0.981776,1,1,Voice + Keystroke
1770445694876-9ahtrz67nb5,tts,1,0.96,1,0.971604,1,0.952344,1,1,Voice + Keystroke
1770007156022-abb32n6ywev,replay,1,0.74,1,0.416397,0,0.591149,1,1,Voice + Keystroke
1770090868504-sllnnomys4a,tts,1,0.83,1,0.682796,1,0.75093,1,1,Voice + Keystroke
1769877858353-02ci21rj98ul,tts,1,0.9,1,0.709277,1,0.784105,1,1,Voice + Keystroke
1770102907751-5ua5kyxye1,tts,1,0.92,1,0.501879,1,0.726012,1,1,Voice + Keystroke
1770445800354-dydxxootb0g,tts,1,0.99,1,0.986635,1,0.986181,1,1,Voice + Keystroke
1769879150923-hkfhersf7f4,replay,1,1.0,1,0.979249,1,0.990732,1,1,Voice + Keystroke
1769715316109-lepldmgac6,tts,1,1.0,1,0.887145,1,0.908887,1,1,Voice + Keystroke
1770088231254-ksqawp9z6n,tts,1,0.98,1,0.755506,1,0.84321,1,1,Voice + Keystroke
1769877786806-vedpgl0db5r,tts,1,1.0,1,0.981506,1,0.99179,1,1,Voice + Keystroke
1769877447533-dk8kd071f4e,tts,1,1.0,1,0.987517,1,0.993046,1,1,Voice + Keystroke
1769877776957-cfu3881h8h4,tts,1,1.0,1,0.926088,1,0.941727,1,1,Voice + Keystroke
1769879312929-njjzxjw5exi,tts,1,1.0,1,0.959137,1,0.956844,1,1,Voice + Keystroke
1769877746312-17s72lus0oz,tts,1,0.99,1,0.958373,1,0.962735,1,1,Voice + Keystroke
1770446113415-851a51rt5u4,tts,1,1.0,1,0.908041,1,0.933644,1,1,Voice + Keystroke
1769878532354-0sianq32je2,replay,1,1.0,1,0.979702,1,0.991339,1,1,Voice + Keystroke
1769868225913-vpvxtwhl39,tts,1,0.9,1,0.854632,1,0.853248,1,1,Voice + Keystroke
1769877813423-fzmq80fcxer,replay,1,1.0,1,0.983424,1,0.988229,1,1,Voice + Keystroke
1769879032156-o2qh72vloxb,replay,1,0.32,0,0.435478,0,0.391648,0,0,Voice + Keystroke
1769921310778-vis108tj3r,replay,1,0.98,1,0.952486,1,0.95314,1,1,Voice + Keystroke
1769884026520-t9ty3jhfk,tts,1,1.0,1,0.985665,1,0.992267,1,1,Voice + Keystroke
1770445671449-gz2dwbwj91j,tts,1,0.82,1,0.670594,1,0.737679,1,1,Voice + Keystroke
1769877785185-0we92xpmfk1,tts,1,1.0,1,0.985037,1,0.99105,1,1,Voice + Keystroke
1770445648100-ok0k52ovsd7,tts,1,1.0,1,0.979767,1,0.991469,1,1,Voice + Keystroke
1769827464685-t4iir7dsiek,tts,1,1.0,1,0.968566,1,0.977786,1,1,Voice + Keystroke
1769884198839-gbpaaesaa4,replay,1,1.0,1,0.987773,1,0.993604,1,1,Voice + Keystroke
1770626604878-066mir6831a,tts,1,1.0,1,0.967923,1,0.976224,1,1,Voice + Keystroke
1770087651128-1o6x4ah0kle,tts,1,0.86,1,0.629366,1,0.73731,1,1,Voice + Keystroke
1769879335590-h4i23wgvh1,genuine,0,0.03,0,0.013632,0,0.0295,0,0,Voice + Keystroke
1769877836738-ngh2n3zgsbb,genuine,0,0.0,0,0.020656,0,0.020704,0,0,Voice + Keystroke
1770087965227-1baaery53s3i,genuine,0,1.0,1,0.783359,1,0.861578,1,1,Voice + Keystroke
1770088530588-5efqabvflf3,genuine,0,0.04,0,0.024816,0,0.040982,0,0,Voice + Keystroke
1769877783602-qg04uh9094,genuine,0,0.0,0,0.016991,0,0.015661,0,0,Voice + Keystroke
1770583681000-kkbdy2g8w6,synthetic,1,1.0,1,0.967822,1,0.976981,1,1,Voice + Keystroke
1771426980393-nzuzo8hi3mr,synthetic,1,0.98,1,0.581993,1,0.786716,1,1,Voice + Keystroke
1770188000031-tgsearqo8in,synthetic,1,1.0,1,0.980342,1,0.990123,1,1,Voice + Keystroke
1770445778272-8f5hwjpivtu,synthetic,1,1.0,1,0.983763,1,0.991473,1,1,Voice + Keystroke
1770217531977-wk28pni9c7d,synthetic,1,0.76,1,0.56247,1,0.663345,1,1,Voice + Keystroke
1770282071874-i2g3l36xe6i,synthetic,1,0.93,1,0.933082,1,0.901594,1,1,Voice + Keystroke
1770364827761-mr9ug9dhlib,synthetic,1,1.0,1,0.912767,1,0.922249,1,1,Voice + Keystroke
1770557958937-o7zm1xx7z5,synthetic,1,0.79,1,0.924558,1,0.830072,1,1,Voice + Keystroke
1769877799465-s8yspj7o21s,synthetic,1,1.0,1,0.984623,1,0.987367,1,1,Voice + Keystroke
1770477453315-sydj4jcvtoi,synthetic,1,1.0,1,0.983422,1,0.988279,1,1,Voice + Keystroke
1770445820698-5jlwq1lbbr3,synthetic,1,1.0,1,0.933729,1,0.940929,1,1,Voice + Keystroke
1770380045217-37yshqp9c7a,synthetic,1,1.0,1,0.965964,1,0.975116,1,1,Voice + Keystroke
1770301371712-34a8ac6kmjn,synthetic,1,1.0,1,0.873357,1,0.901682,1,1,Voice + Keystroke
1769877779645-a7eplt7s9je,synthetic,1,1.0,1,0.985547,1,0.994595,1,1,Voice + Keystroke
1770646563111-v924d5zyos,genuine,0,0.0,0,0.012436,0,0.012011,0,0,Voice + Keystroke
1769878778942-38puz883s92,genuine,0,0.13,0,0.052408,0,0.119968,0,0,Voice + Keystroke
1769878005554-ul2tq32hw5g,genuine,0,0.03,0,0.018626,0,0.034125,0,0,Voice + Keystroke
1770380281105-mdwuzashsa,genuine,0,0.04,0,0.03751,0,0.065019,0,0,Voice + Keystroke
1770445678567-i71ayyh340i,genuine,0,0.0,0,0.020039,0,0.021175,0,0,Voice + Keystroke
1770217090325-2egusipenph,genuine,0,0.2,0,0.014928,0,0.111838,0,0,Voice + Keystroke
1770445750525-ngqmw95sj0f,genuine,0,0.0,0,0.015098,0,0.013066,0,0,Voice + Keystroke
1770445434966-vjnehaefwq,genuine,0,0.09,0,0.117903,0,0.13837,0,0,Voice + Keystroke
1770445718682-feaylk2v696,genuine,0,0.21,0,0.370747,0,0.299682,0,0,Voice + Keystroke
1771183279674-6f82c2f9ntw,genuine,0,0.95,1,0.598935,1,0.765144,1,1,Voice + Keystroke
1770445787080-lqw56ag66w,genuine,0,0.28,0,0.148955,0,0.237658,0,0,Voice + Keystroke
1770480823736-i9brl5czgw,genuine,0,0.28,0,0.279353,0,0.295806,0,0,Voice + Keystroke
1771401489025-xvnbmzb9e8a,logical,1,1.0,1,0.997053,1,0.997365,1,1,Trimodal (F+V+K)
1770218434339-0208d18knkyy,logical,1,0.9,1,0.911031,1,0.871434,1,1,Trimodal (F+V+K)
1770445663719-yykw6xau3x,logical,1,1.0,1,0.987097,1,0.957228,1,1,Trimodal (F+V+K)
1770028923875-1hygdlyttxt,logical,1,1.0,1,0.975595,1,0.948197,1,1,Trimodal (F+V+K)
1770206737552-7b84if03p6b,logical,1,0.88,1,0.905429,1,0.859641,1,1,Trimodal (F+V+K)
1770445612934-h9m47dgoghs,logical,1,0.62,1,0.098571,0,0.371335,0,0,Trimodal (F+V+K)
1769680362558-n9br5ma9t5p,logical,1,1.0,1,0.993988,1,0.971699,1,1,Trimodal (F+V+K)
1770203841157-kds0yz9v9pc,logical,1,0.96,1,0.971951,1,0.921967,1,1,Trimodal (F+V+K)
1770006660690-9qwgjvmdp8,logical,1,0.92,1,0.928055,1,0.896143,1,1,Trimodal (F+V+K)
1769877768525-icimbs5yvns,replay,1,1.0,1,0.995176,1,0.981038,1,1,Trimodal (F+V+K)
1769857860488-1kaf4vrf1bw,replay,1,1.0,1,0.995764,1,0.990919,1,1,Trimodal (F+V+K)
1769877871713-4m4k67ocdf6,replay,1,0.82,1,0.971404,1,0.843132,1,1,Trimodal (F+V+K)
1769879665020-z2hehrkreh,replay,1,0.98,1,0.994296,1,0.975563,1,1,Trimodal (F+V+K)
1770016503680-7cdim9wd80u,logical,1,1.0,1,0.994355,1,0.979488,1,1,Trimodal (F+V+K)
1770301049346-y55avo4p2vi,logical,1,0.57,1,0.250205,0,0.43921,0,0,Trimodal (F+V+K)
1770445940637-wtibtljxuzm,logical,1,0.97,1,0.858099,1,0.884256,1,1,Trimodal (F+V+K)
1769582224434-2n71gdsz237,replay,1,0.88,1,0.890995,1,0.83062,1,1,Trimodal (F+V+K)
1769865631974-5vswlopqn38,replay,1,1.0,1,0.996626,1,0.996107,1,1,Trimodal (F+V+K)
1770445711837-coy6l2idlit,logical,1,1.0,1,0.98639,1,0.97654,1,1,Trimodal (F+V+K)
1770725471062-pvz0nwke0cp,logical,1,1.0,1,0.980866,1,0.967945,1,1,Trimodal (F+V+K)
1769877835383-f8kvf7lral,replay,1,0.96,1,0.881993,1,0.871339,1,1,Trimodal (F+V+K)
1770008423822-5ek366c1tyi,logical,1,0.87,1,0.641178,1,0.721021,1,1,Trimodal (F+V+K)
1770190438442-qpuieazzqee,logical,1,0.98,1,0.936259,1,0.893998,1,1,Trimodal (F+V+K)
1770445780786-y222a26roh,logical,1,1.0,1,0.997027,1,0.99712,1,1,Trimodal (F+V+K)
1769656704608-ef07jxxzhzn,genuine,0,0.02,0,0.010247,0,0.021587,0,0,Trimodal (F+V+K)
1769877877349-6ubslfaljz6,genuine,0,0.11,0,0.00778,0,0.072504,0,0,Trimodal (F+V+K)
1769878323445-9htttm85m8a,genuine,0,0.07,0,0.026141,0,0.064516,0,0,Trimodal (F+V+K)
1770003685383-va6cgq2e3pc,genuine,0,0.66,1,0.362469,0,0.510379,1,0,Trimodal (F+V+K)
1769661288326-qjv26yfs9b,genuine,0,0.22,0,0.05995,0,0.179691,0,0,Trimodal (F+V+K)
1769877763904-77llgv23pb,genuine,0,0.02,0,0.046332,0,0.057051,0,0,Trimodal (F+V+K)
1769877865550-cngi8444j34,genuine,0,0.0,0,0.007964,0,0.016004,0,0,Trimodal (F+V+K)
1769878150519-bs6gvzikgww,replay,1,1.0,1,0.986255,1,0.968527,1,1,Trimodal (F+V+K)
1770259504525-yq212ny4ozl,tts,1,0.94,1,0.838414,1,0.862431,1,1,Trimodal (F+V+K)
1770445658387-z0i6uvj0r2h,tts,1,1.0,1,0.99129,1,0.980982,1,1,Trimodal (F+V+K)
1770091464869-c2tvb9pzrw,tts,1,1.0,1,0.99563,1,0.988593,1,1,Trimodal (F+V+K)
1769879131222-u883itot1y,tts,1,1.0,1,0.99611,1,0.991097,1,1,Trimodal (F+V+K)
1770445694876-9ahtrz67nb5,tts,1,0.99,1,0.994855,1,0.980913,1,1,Trimodal (F+V+K)
1770007156022-abb32n6ywev,replay,1,0.94,1,0.915842,1,0.873624,1,1,Trimodal (F+V+K)
1770090868504-sllnnomys4a,tts,1,0.96,1,0.961708,1,0.915812,1,1,Trimodal (F+V+K)
1769877858353-02ci21rj98ul,tts,1,0.98,1,0.963961,1,0.925882,1,1,Trimodal (F+V+K)
1770102907751-5ua5kyxye1,tts,1,0.97,1,0.950784,1,0.908715,1,1,Trimodal (F+V+K)
1770445800354-dydxxootb0g,tts,1,0.91,1,0.88787,1,0.865877,1,1,Trimodal (F+V+K)
1769879150923-hkfhersf7f4,replay,1,0.92,1,0.720952,1,0.804804,1,1,Trimodal (F+V+K)
1769715316109-lepldmgac6,tts,1,1.0,1,0.979773,1,0.950558,1,1,Trimodal (F+V+K)
1770088231254-ksqawp9z6n,tts,1,0.99,1,0.969789,1,0.935938,1,1,Trimodal (F+V+K)
1769877786806-vedpgl0db5r,tts,1,1.0,1,0.987982,1,0.976887,1,1,Trimodal (F+V+K)
1769877447533-dk8kd071f4e,tts,1,1.0,1,0.986982,1,0.970211,1,1,Trimodal (F+V+K)
1769877776957-cfu3881h8h4,tts,1,1.0,1,0.927099,1,0.923146,1,1,Trimodal (F+V+K)
1769879312929-njjzxjw5exi,tts,1,1.0,1,0.995839,1,0.977945,1,1,Trimodal (F+V+K)
1769877746312-17s72lus0oz,tts,1,1.0,1,0.994436,1,0.98442,1,1,Trimodal (F+V+K)
1770446113415-851a51rt5u4,tts,1,0.96,1,0.851777,1,0.867596,1,1,Trimodal (F+V+K)
1769878532354-0sianq32je2,replay,1,1.0,1,0.996475,1,0.996877,1,1,Trimodal (F+V+K)
1769868225913-vpvxtwhl39,tts,1,0.98,1,0.982133,1,0.94875,1,1,Trimodal (F+V+K)
1769877813423-fzmq80fcxer,replay,1,1.0,1,0.993393,1,0.983927,1,1,Trimodal (F+V+K)
1769879032156-o2qh72vloxb,replay,1,0.88,1,0.899775,1,0.844924,1,1,Trimodal (F+V+K)
1769921310778-vis108tj3r,replay,1,1.0,1,0.992332,1,0.978709,1,1,Trimodal (F+V+K)
1769884026520-t9ty3jhfk,tts,1,1.0,1,0.99626,1,0.993569,1,1,Trimodal (F+V+K)
1770445671449-gz2dwbwj91j,tts,1,0.97,1,0.951929,1,0.913829,1,1,Trimodal (F+V+K)
1769877785185-0we92xpmfk1,tts,1,1.0,1,0.989218,1,0.97612,1,1,Trimodal (F+V+K)
1770445648100-ok0k52ovsd7,tts,1,1.0,1,0.978961,1,0.967902,1,1,Trimodal (F+V+K)
1769827464685-t4iir7dsiek,tts,1,1.0,1,0.994237,1,0.986627,1,1,Trimodal (F+V+K)
1769884198839-gbpaaesaa4,replay,1,1.0,1,0.997881,1,0.997387,1,1,Trimodal (F+V+K)
1770626604878-066mir6831a,tts,1,1.0,1,0.975901,1,0.960263,1,1,Trimodal (F+V+K)
1770087651128-1o6x4ah0kle,tts,1,0.99,1,0.906021,1,0.895736,1,1,Trimodal (F+V+K)
1769879335590-h4i23wgvh1,genuine,0,0.02,0,0.00387,0,0.018605,0,0,Trimodal (F+V+K)
1769877836738-ngh2n3zgsbb,genuine,0,0.06,0,0.047949,0,0.078854,0,0,Trimodal (F+V+K)
1770087965227-1baaery53s3i,genuine,0,0.8,1,0.706228,1,0.712293,1,1,Trimodal (F+V+K)
1770088530588-5efqabvflf3,genuine,0,0.02,0,0.008011,0,0.022565,0,0,Trimodal (F+V+K)
1769877783602-qg04uh9094,genuine,0,0.0,0,0.007675,0,0.012367,0,0,Trimodal (F+V+K)
1770583681000-kkbdy2g8w6,synthetic,1,1.0,1,0.994223,1,0.986439,1,1,Trimodal (F+V+K)
1771426980393-nzuzo8hi3mr,synthetic,1,0.98,1,0.790537,1,0.837832,1,1,Trimodal (F+V+K)
1770188000031-tgsearqo8in,synthetic,1,1.0,1,0.99106,1,0.981471,1,1,Trimodal (F+V+K)
1770445778272-8f5hwjpivtu,synthetic,1,1.0,1,0.996779,1,0.995695,1,1,Trimodal (F+V+K)
1770217531977-wk28pni9c7d,synthetic,1,0.89,1,0.764572,1,0.783897,1,1,Trimodal (F+V+K)
1770282071874-i2g3l36xe6i,synthetic,1,0.99,1,0.99278,1,0.964034,1,1,Trimodal (F+V+K)
1770364827761-mr9ug9dhlib,synthetic,1,1.0,1,0.989267,1,0.961841,1,1,Trimodal (F+V+K)
1770557958937-o7zm1xx7z5,synthetic,1,0.64,1,0.748328,1,0.674637,1,1,Trimodal (F+V+K)
1769877799465-s8yspj7o21s,synthetic,1,1.0,1,0.986776,1,0.968158,1,1,Trimodal (F+V+K)
1770477453315-sydj4jcvtoi,synthetic,1,1.0,1,0.996595,1,0.994309,1,1,Trimodal (F+V+K)
1770445820698-5jlwq1lbbr3,synthetic,1,1.0,1,0.932762,1,0.923068,1,1,Trimodal (F+V+K)
1770380045217-37yshqp9c7a,synthetic,1,1.0,1,0.995113,1,0.988455,1,1,Trimodal (F+V+K)
1770301371712-34a8ac6kmjn,synthetic,1,1.0,1,0.982706,1,0.952989,1,1,Trimodal (F+V+K)
1769877779645-a7eplt7s9je,synthetic,1,1.0,1,0.995869,1,0.993024,1,1,Trimodal (F+V+K)
1770646563111-v924d5zyos,genuine,0,0.02,0,0.004676,0,0.021037,0,0,Trimodal (F+V+K)
1769878778942-38puz883s92,genuine,0,0.06,0,0.016607,0,0.060421,0,0,Trimodal (F+V+K)
1769878005554-ul2tq32hw5g,genuine,0,0.01,0,0.00815,0,0.020533,0,0,Trimodal (F+V+K)
1770380281105-mdwuzashsa,genuine,0,0.04,0,0.008635,0,0.04527,0,0,Trimodal (F+V+K)
1770445678567-i71ayyh340i,genuine,0,0.0,0,0.008479,0,0.017233,0,0,Trimodal (F+V+K)
1770217090325-2egusipenph,genuine,0,0.02,0,0.006502,0,0.017919,0,0,Trimodal (F+V+K)
1770445750525-ngqmw95sj0f,genuine,0,0.03,0,0.036489,0,0.057362,0,0,Trimodal (F+V+K)
1770445434966-vjnehaefwq,genuine,0,0.05,0,0.022388,0,0.070446,0,0,Trimodal (F+V+K)
1770445718682-feaylk2v696,genuine,0,0.39,0,0.283379,0,0.355721,0,0,Trimodal (F+V+K)
1771183279674-6f82c2f9ntw,genuine,0,0.52,1,0.143473,0,0.359595,0,0,Trimodal (F+V+K)
1770445787080-lqw56ag66w,genuine,0,0.16,0,0.111635,0,0.166253,0,0,Trimodal (F+V+K)
1770480823736-i9brl5czgw,genuine,0,0.12,0,0.065879,0,0.130951,0,0,Trimodal (F+V+K)
